Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial50
9.821,5.819,NA,NA,NA,9.276,NA,NA,NA,NA,NA,7.147,7.527,7.154,NA,6.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.534,6.379,NA,NA,6.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.966,6.205,NA,NA,NA,9.277,NA,NA,NA,NA,NA,7.341,7.665,7.416,NA,7.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.733,7.182,NA,NA,7.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,6.284,NA,NA,NA,9.356,NA,NA,NA,NA,NA,7.431,7.781,7.742,NA,8.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.884,7.689,NA,NA,7.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,6.781,NA,NA,NA,9.736,NA,NA,NA,NA,NA,7.519,8.44,8.216,NA,8.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.017,9.397,NA,NA,8.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,7.845,NA,NA,NA,9.769,NA,NA,NA,NA,NA,7.637,NA,8.291,NA,9.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.193,9.474,NA,NA,8.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.904,NA,8.346,NA,9.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.773,NA,NA,9.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.486,NA,8.433,NA,9.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.754,NA,8.894,NA,9.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
